,A,F,pe,ds,ec,beta,dl,du
70,39,6,0.01,0.001,0.001,0.20317120955617918,-0.9900766666666667,98.23333333333333
71,39,7,0.01,0.001,0.001,0.1789584224106472,-0.9900671428571428,98.32857142857144
72,39,8,0.01,0.001,0.001,0.16023262848454384,-0.99006,98.4
73,39,9,0.01,0.001,0.001,0.14528429119398936,-0.9900544444444445,98.45555555555555
74,39,10,0.01,0.001,0.001,0.1330534382554585,-0.99005,98.5
75,39,11,0.01,0.001,0.001,0.12284637000599631,-0.9900463636363637,98.53636363636363
76,39,12,0.01,0.001,0.001,0.1141892040956473,-0.9900433333333334,98.56666666666666
77,39,13,0.01,0.001,0.001,0.10674672432173478,-0.9900407692307692,98.59230769230768
78,42,2,0.01,0.001,0.001,0.4885981115238325,-0.990225,96.75
79,42,3,0.01,0.001,0.001,0.3556093625565625,-0.9901533333333333,97.46666666666667
80,42,4,0.01,0.001,0.001,0.2825215623383019,-0.9901175,97.825
81,42,5,0.01,0.001,0.001,0.2358026320375506,-0.990096,98.03999999999999
82,42,6,0.01,0.001,0.001,0.20315296955235324,-0.9900816666666666,98.18333333333334
83,42,7,0.01,0.001,0.001,0.17894503492525418,-0.9900714285714286,98.28571428571429
84,42,8,0.01,0.001,0.001,0.1602223863341982,-0.99006375,98.3625
85,42,9,0.01,0.001,0.001,0.14527620332155758,-0.9900577777777778,98.42222222222222
86,42,10,0.01,0.001,0.001,0.13304689011525855,-0.990053,98.47
87,42,11,0.01,0.001,0.001,0.12284096037136048,-0.9900490909090909,98.50909090909092
88,42,12,0.01,0.001,0.001,0.11418465993538922,-0.9900458333333333,98.54166666666666
89,42,13,0.01,0.001,0.001,0.1067428534089093,-0.9900430769230769,98.56923076923077
90,42,14,0.01,0.001,0.001,0.10027149684755814,-0.9900407142857143,98.59285714285714
91,45,2,0.01,0.001,0.001,0.4884313744235294,-0.99024,96.6
92,45,3,0.01,0.001,0.001,0.3555358156439006,-0.9901633333333334,97.36666666666667
93,45,4,0.01,0.001,0.001,0.28248034749873807,-0.990125,97.75
94,45,5,0.01,0.001,0.001,0.2357763138174601,-0.990102,97.98
95,45,6,0.01,0.001,0.001,0.2031347203511134,-0.9900866666666667,98.13333333333333
96,45,7,0.01,0.001,0.001,0.17893164165984285,-0.9900757142857143,98.24285714285715
97,45,8,0.01,0.001,0.001,0.16021214031767428,-0.9900675,98.325
98,45,9,0.01,0.001,0.001,0.14526811273704646,-0.9900611111111111,98.3888888888889
99,45,10,0.01,0.001,0.001,0.13304033999985163,-0.990056,98.44
100,45,11,0.01,0.001,0.001,0.12283554925388818,-0.9900518181818182,98.48181818181818
101,45,12,0.01,0.001,0.001,0.1141801146337169,-0.9900483333333333,98.51666666666667
102,45,13,0.01,0.001,0.001,0.1067389815988276,-0.9900453846153846,98.54615384615386
103,45,14,0.01,0.001,0.001,0.10026815921876556,-0.9900428571428571,98.57142857142857
104,45,15,0.01,0.001,0.001,0.09458557372091615,-0.9900406666666667,98.59333333333333
105,48,2,0.01,0.001,0.001,0.4882643808702665,-0.990255,96.45
106,48,3,0.01,0.001,0.001,0.35546219392507633,-0.9901733333333333,97.26666666666667
107,48,4,0.01,0.001,0.001,0.28243910134487,-0.9901325,97.675
108,48,5,0.01,0.001,0.001,0.23574997963887231,-0.990108,97.92
109,48,6,0.01,0.001,0.001,0.20311646194317956,-0.9900916666666667,98.08333333333333
110,48,7,0.01,0.001,0.001,0.17891824260942002,-0.99008,98.2
